threads,desempenho,cenario
1,1179,"Cenário 1"
2,2505,"Cenário 1"
4,4689,"Cenário 1"
8,7649,"Cenário 1"
16,9920,"Cenário 1"
32,11039,"Cenário 1"
64,11853,"Cenário 1"
128,11266,"Cenário 1"
256,0,"Cenário 1"
512,0,"Cenário 1"
1,1140,"Cenário 2"
2,2197,"Cenário 2"
4,4218,"Cenário 2"
8,8162,"Cenário 2"
16,12911,"Cenário 2"
32,16983,"Cenário 2"
64,17805,"Cenário 2"
128,17510,"Cenário 2"
256,17064,"Cenário 2"
512,16097,"Cenário 2"
1,0,"Cenário 3"
2,0,"Cenário 3"
4,0,"Cenário 3"
8,0,"Cenário 3"
16,0,"Cenário 3"
32,0,"Cenário 3"
64,19247,"Cenário 3"
128,17783,"Cenário 3"
256,17064,"Cenário 3"
512,16362,"Cenário 3"
1,0,"Cenário 4"
2,0,"Cenário 4"
4,0,"Cenário 4"
8,0,"Cenário 4"
16,0,"Cenário 4"
32,0,"Cenário 4"
64,22516,"Cenário 4"
128,22497,"Cenário 4"
256,22060,"Cenário 4"
512,20419,"Cenário 4"
1,0,"Cenário 5"
2,0,"Cenário 5"
4,0,"Cenário 5"
8,0,"Cenário 5"
16,0,"Cenário 5"
32,0,"Cenário 5"
64,23875,"Cenário 5"
128,24509,"Cenário 5"
256,21888,"Cenário 5"
512,8561,"Cenário 5"